county_fips,FIPS,State,Area_Name,Rural-urban_Continuum Code_2013,POP_ESTIMATE_2016,N_POP_CHG_2016,R_birth_2016,R_death_2016,FIPStxt,POVALL_2016,PCTPOVALL_2016,POV017_2016,PCTPOV017_2016,POV517_2016,PCTPOV517_2016,POV05_2016,PCTPOV05_2016,FIPStxt, Civilian_labor_force_2016 , Employed_2016 , Unemployed_2016 ,Unemployment_rate_2016,Median_Household_Income_2016,Med_HH_Income_Percent_of_State_Total_2016,FIPS Code,"Percent of adults with less than a high school diploma, 2012-2016","Percent of adults with a high school diploma only, 2012-2016","Percent of adults completing some college or associate's degree, 2012-2016","Percent of adults with a bachelor's degree or higher, 2012-2016"
0,0,US,United States,,"323,405,935","2,366,096",12.3,8.5,0,"44,268,996",14.0,"14,115,713",20.0,"9,648,486",18.0,"4,156,949",21.0,0,"158,921,892","151,183,680","7,738,212",4.9,"$57,617",,0,13.0,27.5,29.1,30.3
01000,1000,AL,Alabama,,"4,860,545","9,687",12.2,10.7,1000,"814,197",17.0,"267,674",25.0,"185,889",24.0,"78,675",27.0,1000," 2,173,175 "," 2,045,624 "," 127,551 ",5.9,"$46,309",100.0,1000,15.2,31.0,29.8,24.0
01001,1001,AL,Autauga County,2.0,"55,278",440,12.1,9.2,1001,"7,444",14.0,"2,588",19.0,"1,887",18.0,,,1001," 25,918 "," 24,593 "," 1,325 ",5.1,"$54,487",117.7,1001,12.4,34.3,28.7,24.6
01003,1003,AL,Baldwin County,3.0,"207,509","4,646",11.3,10.0,1003,"24,005",12.0,"7,881",18.0,"5,512",17.0,,,1003," 90,500 "," 85,656 "," 4,844 ",5.4,"$56,460",121.9,1003,10.0,28.7,31.8,29.5
01005,1005,AL,Barbour County,6.0,"25,774",-490,10.5,10.3,1005,"6,787",30.0,"2,146",40.0,"1,502",37.0,,,1005," 8,402 "," 7,700 ", 702 ,8.4,"$32,884",71.0,1005,26.2,34.9,26.0,12.9
01007,1007,AL,Bibb County,1.0,"22,633",72,12.8,9.2,1007,"4,099",20.0,"1,263",28.0,892,27.0,,,1007," 8,607 "," 8,050 ", 557 ,6.5,"$43,079",93.0,1007,19.3,41.8,26.9,12.0
01009,1009,AL,Blount County,1.0,"57,562",-28,11.7,11.5,1009,"8,033",14.0,"2,568",19.0,"1,744",18.0,,,1009," 24,576 "," 23,248 "," 1,328 ",5.4,"$47,213",102.0,1009,20.0,32.9,34.0,13.1
01011,1011,AL,Bullock County,6.0,"10,441",22,14.0,11.2,1011,"2,841",33.0,995,46.0,689,44.0,,,1011," 4,824 "," 4,493 ", 331 ,6.9,"$34,278",74.0,1011,33.4,34.1,22.2,10.3
01013,1013,AL,Butler County,6.0,"19,965",-176,11.8,13.3,1013,"4,880",25.0,"1,708",37.0,"1,187",34.0,,,1013," 9,190 "," 8,553 ", 637 ,6.9,"$35,409",76.5,1013,18.9,39.9,25.1,16.1
01015,1015,AL,Calhoun County,3.0,"114,980",-525,11.7,12.6,1015,"19,057",17.0,"6,313",26.0,"4,397",24.0,,,1015," 45,818 "," 42,815 "," 3,003 ",6.6,"$41,778",90.2,1015,17.7,32.1,32.6,17.7
